Название;Ссылка;Авторы;Год/Журнал
Исследование эффективности теплового воздействия на пласт с вязкопластичной нефтью;https://cyberleninka.ru/article/n/issledovanie-effektivnosti-teplovogo-vozdeystviya-na-plast-s-vyazkoplastichnoy-neftyu;Невмержицкий Я.В., Семака В.Ю., Конюхов А.В., Завьялов И.Н., Завьялова Н.А., и др.;2018 / Экспозиция Нефть Газ
Проектирование модуля хранения данных для гибридной системы прогнозирования показателей социально-экономического развития РФ;https://cyberleninka.ru/article/n/proektirovanie-modulya-hraneniya-dannyh-dlya-gibridnoy-sistemy-prognozirovaniya-pokazateley-sotsialno-ekonomicheskogo-razvitiya-rf;Китова Ольга Викторовна, Кривошеева Ярослава Валерьевна;2016 / Статистика и экономика
Основные свойства вычислительных алгоритмов, выполняемых на реальных ЭВМ;https://cyberleninka.ru/article/n/osnovnye-svoystva-vychislitelnyh-algoritmov-vypolnyaemyh-na-realnyh-evm;Клинцов Григорий Николаевич, Ларкин Евгений Васильевич;2016 / Известия Тульского государственного университета. Технические науки
Некоторые особенности выявления и раскрытия бесконтактного мошенничества;https://cyberleninka.ru/article/n/nekotorye-osobennosti-vyyavleniya-i-raskrytiya-beskontaktnogo-moshennichestva;Абышов Джангир Зиядович, Потапова Надежда Николаевна;2017 / Юридическая наука и практика: Вестник Нижегородской академии МВД России
Сравнительный анализ семантических моделей, применяемых для проектирования схем баз данных;https://cyberleninka.ru/article/n/sravnitelnyy-analiz-semanticheskih-modeley-primenyaemyh-dlya-proektirovaniya-shem-baz-dannyh;Бабанов Алексей Михайлович;2006 / Вестник Томского государственного университета
Система оперативной диспетчеризации производств;https://cyberleninka.ru/article/n/sistema-operativnoy-dispetcherizatsii-proizvodstv;Тебеньков Егор Сергеевич, Гольдштейн Аркадий Леонидович;2010 / Вестник Пермского национального исследовательского политехнического университета. Электротехника, информационные технологии, системы управления
Мобільний Android – додаток системи супроводження подорожі;https://cyberleninka.ru/article/n/mobilniy-android-dodatok-sistemi-suprovodzhennya-podorozhi;Є. В. Нікітенко, Є. В. Риндич;2020 / Математические машины и системы
Теоретические и практические проблемы совершенствования взаимодействия субъектов розыска безвестно исчезнувших лиц;https://cyberleninka.ru/article/n/teoreticheskie-i-prakticheskie-problemy-sovershenstvovaniya-vzaimodeystviya-subektov-rozyska-bezvestno-ischeznuvshih-lits;Исмаилов Чинтир Магомедович;2015 / Юридическая наука
Федерализм как социальная основа государственного устройства;https://cyberleninka.ru/article/n/federalizm-kak-sotsialnaya-osnova-gosudarstvennogo-ustroystva;Платонов Владимир Михайлович;2019 / Журнал зарубежного законодательства и сравнительного правоведения
Интеграция оперативной системы обработки и хранилища данных электромагнитных зондирований;https://cyberleninka.ru/article/n/integratsiya-operativnoy-sistemy-obrabotki-i-hranilischa-dannyh-elektromagnitnyh-zondirovaniy;Гусейнов Роман Гасымович, Петров Александр Васильевич, Шарлов Максим Валерьевич;2014 / Вестник Иркутского государственного технического университета
ПРИМЕНЕНИЕ АЛГОРИТМА ПОИСКА АССОЦИАТИВНЫХ ПРАВИЛ APRIORI ДЛЯ ФОРМИРОВАНИЯ РЕКОМЕНДУЕМЫХ ТОВАРНЫХ КОМПЛЕКТОВ;https://cyberleninka.ru/article/n/primenenie-algoritma-poiska-assotsiativnyh-pravil-apriori-dlya-formirovaniya-rekomenduemyh-tovarnyh-komplektov;Брусенцев Александр Григорьевич, Кательников Александр Александрович;2021 / StudNet
Экспертная система агрегированной оценки уровня промышленной безопасности;https://cyberleninka.ru/article/n/ekspertnaya-sistema-agregirovannoy-otsenki-urovnya-promyshlennoy-bezopasnosti;Асламова Елизавета Александровна, Кривов Максим Викторович, Асламова Вера Сергеевна;2018 / Вестник Томского государственного университета. Управление, вычислительная техника и информатика
Сравнительный анализ моделей работы с данными в Java-приложениях;https://cyberleninka.ru/article/n/sravnitelnyy-analiz-modeley-raboty-s-dannymi-v-java-prilozheniyah;Дашук В.A., Намиот Д.Е.;2020 / International Journal of Open Information Technologies
Використання Ado. Net Entity Framework для створення інформаційної системи управління документообігом кафедри;https://cyberleninka.ru/article/n/vikoristannya-ado-net-entity-framework-dlya-stvorennya-informatsiynoyi-sistemi-upravlinnya-dokumentoobigom-kafedri;Є. В. Данилець, Г. О. Райко;2019 / Вестник Херсонского национального технического университета
Инструментальное средство интегрированной среды разработки для проектирования корпоративных информационных систем;https://cyberleninka.ru/article/n/instrumentalnoe-sredstvo-integrirovannoy-sredy-razrabotki-dlya-proektirovaniya-korporativnyh-informatsionnyh-sistem;Воронов Эдуард Сергеевич;2012 / Проблемы информатики
Determination of the form drag coefficientfor flat-units rafts;https://cyberleninka.ru/article/n/determination-of-the-form-drag-coefficientfor-flat-units-rafts;Fedulov V.M., Barabanov V.A.;2011 / Актуальные проблемы лесного комплекса
Исследование методов и технологий разработки АСУ. Определение эффективности по АСУ;https://cyberleninka.ru/article/n/issledovanie-metodov-i-tehnologiy-razrabotki-asu-opredelenie-effektivnosti-po-asu;Чмиль Е. В.;2012 / Восточно-Европейский журнал передовых технологий
Web-приложения и данные: проблемы абстракции и масштабируемости;https://cyberleninka.ru/article/n/web-prilozheniya-i-dannye-problemy-abstraktsii-i-masshtabiruemosti;Посконин Андрей;2012 / Труды Института системного программирования РАН
Реализация принципов наследования и агрегации в МУОРБД;https://cyberleninka.ru/article/n/realizatsiya-printsipov-nasledovaniya-i-agregatsii-v-muorbd;Микляев И.А., Жирнова М.А.;2016 / Объектные системы
ОПЫТ СОЗДАНИЯ ПРОГРАММЫ АВТОМАТИЧЕСКОЙ ГЕНЕРАЦИИ ВЕБ-ПРИЛОЖЕНИЙ ПО ФОРМАЛЬНЫМ ТРЕБОВАНИЯМ;https://cyberleninka.ru/article/n/opyt-sozdaniya-programmy-avtomaticheskoy-generatsii-veb-prilozheniy-po-formalnym-trebovaniyam;Корытов П.В., Беляев С.А.;2020 / Cloud of science
Особенности выбора технологии доступа к данным в автоматизированной информационной системе;https://cyberleninka.ru/article/n/osobennosti-vybora-tehnologii-dostupa-k-dannym-v-avtomatizirovannoy-informatsionnoy-sisteme;Набатчикова Александра Дмитриевна;2016 / Технические науки – от теории к практике
Эволюционная разработка информационных систем;https://cyberleninka.ru/article/n/evolyutsionnaya-razrabotka-informatsionnyh-sistem;Дрождин В. В., Володин А. М.;2007 / Программные продукты и системы
Интеграция SQL-ориентированных СУБД и NoSQL-систем на уровне объектного отображения;https://cyberleninka.ru/article/n/integratsiya-sql-orientirovannyh-subd-i-nosql-sistem-na-urovne-obektnogo-otobrazheniya;Посконин А.В.;2014 / Объектные системы
Методы оптимизации хранения и обработки объектов в реляционных базах данных;https://cyberleninka.ru/article/n/metody-optimizatsii-hraneniya-i-obrabotki-obektov-v-relyatsionnyh-bazah-dannyh;Козлов А. Д., Шуйков С. Ю.;2007 / Машиностроение и компьютерные технологии
Об одном из подходов к оптимизации высоконагруженных систем на примере системы диспетчерского управления таксомоторным парком;https://cyberleninka.ru/article/n/ob-odnom-iz-podhodov-k-optimizatsii-vysokonagruzhennyh-sistem-na-primere-sistemy-dispetcherskogo-upravleniya-taksomotornym-parkom;Игумнов Артём Олегович, Сонькин Дмитрий Михайлович;2013 / Вестник евразийской науки
ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ ДЛЯ АДМИНИСТРИРОВАНИЯ УЧЕТНЫХ ДАННЫХ ПОЛЬЗОВАТЕЛЕЙ;https://cyberleninka.ru/article/n/programmnoe-obespechenie-dlya-administrirovaniya-uchetnyh-dannyh-polzovateley;Самсонкин Андрей Сергеевич, Такташкин Денис Витальевич, Дзюба Елена Анатольевна;2021 / Вестник Пензенского государственного университета
Объектно-реляционная надстройка над реляционной СУБД;https://cyberleninka.ru/article/n/obektno-relyatsionnaya-nadstroyka-nad-relyatsionnoy-subd;Терещенко В.Н., Волошин С.Г.;2010 / Объектные системы
Особенности построения прикладных программных систем на основе онтологических баз знаний;https://cyberleninka.ru/article/n/osobennosti-postroeniya-prikladnyh-programmnyh-sistem-na-osnove-ontologicheskih-baz-znaniy;Шевченко Елена Леонидовна, Шевченко Александр Юрьевич, Богдан Александр Николаевич;2011 / Автоматизированные системы управления и приборы автоматики
Разработка и реализация сервера игры CTF;https://cyberleninka.ru/article/n/razrabotka-i-realizatsiya-servera-igry-ctf;Ткаченко Николай Олегович, Чернов Дмитрий Владимирович;2010 / Прикладная дискретная математика. Приложение
Web-программирование на языке python. Фреймворки django, Flask;https://cyberleninka.ru/article/n/web-programmirovanie-na-yazyke-python-freymvorki-django-flask;Васильев Петр Алексеевич;2016 / Наука, техника и образование
Маркетинговое управление онлайн-репутацией предприятий;https://cyberleninka.ru/article/n/marketingovoe-upravlenie-onlayn-reputatsiey-predpriyatiy;Реверчук Надежда Иосифовна, Дзямулич Елена Сергеевна;2014 / Экономика и современный менеджмент: теория и практика
Температуропроводность и теплопроводность металлического технеция и сплавов Tc-Ru реакторного происхождения;https://cyberleninka.ru/article/n/temperaturoprovodnost-i-teploprovodnost-metallicheskogo-tehnetsiya-i-splavov-tc-ru-reaktornogo-proishozhdeniya;Пичужкина Елена Михайловна, Рисованый Владимир Дмитриевич, Покровский Александр Сергеевич, Бутылин Антон Сергеевич;2013 / Известия Самарского научного центра Российской академии наук
Распределенная информационная система поиска литературы;https://cyberleninka.ru/article/n/raspredelennaya-informatsionnaya-sistema-poiska-literatury;Маран М. М., Лвин Маунг Со;2012 / Программные продукты и системы
Подход к повышению производительности структурно-независимой базы данных;https://cyberleninka.ru/article/n/podhod-k-povysheniyu-proizvoditelnosti-strukturno-nezavisimoy-bazy-dannyh;Грищенко Андрей Сергеевич;2014 / Известия Южного федерального университета. Технические науки
Принципы автоматизации доступа к данным при использовании Веб сервисных решений;https://cyberleninka.ru/article/n/printsipy-avtomatizatsii-dostupa-k-dannym-pri-ispolzovanii-veb-servisnyh-resheniy;Корабельников Д. М.;2012 / T-Comm - Телекоммуникации и Транспорт
Xoql: object query Markup language;https://cyberleninka.ru/article/n/xoql-object-query-markup-language;Oleynik Pavel P.;2015 / Бизнес-информатика
Применение декларативных спецификаций для разработки и интеграции информационных систем;https://cyberleninka.ru/article/n/primenenie-deklarativnyh-spetsifikatsiy-dlya-razrabotki-i-integratsii-informatsionnyh-sistem;Ветров Александр Анатольевич, Гаченко Андрей Сергеевич, Фереферов Евгений Сергеевич, Хмельнов Алексей Евгеньевич;2015 / Вестник Бурятского государственного университета. Математика, информатика
Автоматизация процесса разработки web-приложений на примере framework-системы компании digart;https://cyberleninka.ru/article/n/avtomatizatsiya-protsessa-razrabotki-web-prilozheniy-na-primere-framework-sistemy-kompanii-digart;Заря В.В., Протченков А.А., Симаков Е.В., Коробейников А.Г.;2007 / Научно-технический вестник информационных технологий, механики и оптики
Статус лица, задержанного субъектами, осуществляющими оперативно-разыскную деятельность, и виды их действий в контексте оперативно-разыскных мероприятий;https://cyberleninka.ru/article/n/status-litsa-zaderzhannogo-subektami-osuschestvlyayuschimi-operativno-razysknuyu-deyatelnost-i-vidy-ih-deystviy-v-kontekste-operativno;Середнев В.А.;2019 / Вестник Белгородского юридического института МВД России
Кодирование вектора двухкомпонентных кортежей для технологий компрессии с трансформированием кадров в инфокоммуникационных системах;https://cyberleninka.ru/article/n/kodirovanie-vektora-dvuhkomponentnyh-kortezhey-dlya-tehnologiy-kompressii-s-transformirovaniem-kadrov-v-infokommunikatsionnyh;Туренко Сергей Викторович;2013 / Радиоэлектроника и информатика
ВОПРОСЫ ПРОИЗВОДСТА СЛЕДСТВЕННЫХ ДЕЙСТВИИ ПРИ РАССЛЕДОВАНИИ ПРЕСТУПЛЕНИЙ В СФЕРЕ КОМПЬЮТЕРНОЙ ИНФОРМАЦИИ;https://cyberleninka.ru/article/n/voprosy-proizvodsta-sledstvennyh-deystvii-pri-rassledovanii-prestupleniy-v-sfere-kompyuternoy-informatsii;Атаманчук Максим Олегович;2020 / Журнал прикладных исследований
Інструментальна модель веб-орієнтованої програмної реалізації підсистеми підтримки прийняття рішень у складі програмного комплексу ситуаційного центру;https://cyberleninka.ru/article/n/instrumentalna-model-veb-orientovanoyi-programnoyi-realizatsiyi-pidsistemi-pidtrimki-priynyattya-rishen-u-skladi-programnogo;С. В. Грибков, В. А. Литвинов, Г. В. Олійник;2020 / Математические машины и системы
Проблема выбора модели данных для хранения сложных структур данных и классов;https://cyberleninka.ru/article/n/problema-vybora-modeli-dannyh-dlya-hraneniya-slozhnyh-struktur-dannyh-i-klassov;Казакова Е. А., Шибанов С. В., Хмелевской Б. Г.;2008 / Труды Международного симпозиума «Надежность  и качество»
Автоматизация процессов тестирования web-приложений;https://cyberleninka.ru/article/n/avtomatizatsiya-protsessov-testirovaniya-web-prilozheniy;Бедняк С. Г., Тиханов А. А.;2013 / Международный научно-исследовательский журнал
ОНТОЛОГИЧЕСКОЕ МОДЕЛИРОВАНИЕ ЧТО-ЗНАНИЙ ПОСРЕДСТВОМ ORM2-ДИАГРАММ И РАЗРАБАТЫВАЕМОГО PROTEGE-ПЛАГИНА;https://cyberleninka.ru/article/n/ontologicheskoe-modelirovanie-chto-znaniy-posredstvom-orm2-diagramm-i-razrabatyvaemogo-protege-plagina;Литовкин Д.В., Аникин А.В., Сычев О.А.;2020 / Инженерный вестник Дона
Introduction of the project method in professional training of youth coordinators;https://cyberleninka.ru/article/n/introduction-of-the-project-method-in-professional-training-of-youth-coordinators;Козель Вера Николаевна;2013 / Russian Journal of Education and Psychology
Программное обеспечение для задачи интеграции разрозненных компьютерных систем;https://cyberleninka.ru/article/n/programmnoe-obespechenie-dlya-zadachi-integratsii-razroznennyh-kompyuternyh-sistem;Торшин Нафиса Исламовна, Юсупова Дмитрий Вячеславович;2009 / Вестник Уфимского государственного авиационного технического университета
ОПТИМИЗАЦИЯ ЗАТРАТ НА РЕАЛИЗАЦИЮ ПРОГРАММНЫХ ПРОЕКТОВ;https://cyberleninka.ru/article/n/optimizatsiya-zatrat-na-realizatsiyu-programmnyh-proektov;Шейпак С.А., Шилов В.В.;2008 / Научные труды Вольного экономического общества России
Технология разработки информационной системы для обработки данных цифровой микроанатомии годичных колец;https://cyberleninka.ru/article/n/tehnologiya-razrabotki-informatsionnoy-sistemy-dlya-obrabotki-dannyh-tsifrovoy-mikroanatomii-godichnyh-kolets;Дозморов Александр Ильич;2016 / Научный журнал
Unified Model for Testing Object-Oriented Application Development Tools;https://cyberleninka.ru/article/n/unified-model-for-testing-object-oriented-application-development-tools-1;Pavel P. Oleynik;2015 / Proceedings of the Spring/Summer Young Researchers’ Colloquium on Software Engineering
JavaScript. Занятие 7. Метод рекурсивного спуска;https://cyberleninka.ru/article/n/javascript-zanyatie-7-metod-rekursivnogo-spuska;Дмитриева Марина Валерьевна;2003 / Компьютерные инструменты в образовании
Изучение интегрированных сред разработки и интерфейсов доступа к данным для автоматизации расчета рационов кормления сельскохозяйственных животных;https://cyberleninka.ru/article/n/izuchenie-integrirovannyh-sred-razrabotki-i-interfeysov-dostupa-k-dannym-dlya-avtomatizatsii-rascheta-ratsionov-kormleniya;Астапов В.А., Шалин А.Ф.;2014 / Сельскохозяйственный журнал
Разработка кросс-платформенного, кросс-браузерного модулей ввода информации в базу данных;https://cyberleninka.ru/article/n/razrabotka-kross-platformennogo-kross-brauzernogo-moduley-vvoda-informatsii-v-bazu-dannyh;Белов Д. Е., Шалин А. Ф., Воронкина И. Н.;2013 / Сельскохозяйственный журнал
ЧТО ДОЛЖЕН ЗНАТЬ НАЧИНАЮЩИЙ NODE.JS РАЗРАБОТЧИК;https://cyberleninka.ru/article/n/chto-dolzhen-znat-nachinayuschiy-node-js-razrabotchik;Разин Сергей Александрович;2020 / E-Scio
Системы управления проектами: анализ существующих программных решений;https://cyberleninka.ru/article/n/sistemy-upravleniya-proektami-analiz-suschestvuyuschih-programmnyh-resheniy;Ахмадуллин Динар Фанилович;2020 / StudNet
РЕАЛИЗАЦИЯ ETL-ТЕХНОЛОГИИ ДЛЯ ОЗЕРА ДАННЫХ ЭТНОКУЛЬТУРНОГО БАНКА КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА;https://cyberleninka.ru/article/n/realizatsiya-etl-tehnologii-dlya-ozera-dannyh-etnokulturnogo-banka-korennyh-malochislennyh-narodov-severa;Бурлуцкий В. В., Балуев В. А., Изерт М. И., Русанов М. А.;2020 / Вестник Югорского государственного университета
ПРОЦЕССУАЛЬНЫЕ ПРОБЛЕМЫ ПРИМЕНЕНИЯ МЕР ПРИНУЖДЕНИЯ ПРИ ПРОИЗВОДСТВЕ СЛЕДСТВЕННЫХ ДЕЙСТВИЙ;https://cyberleninka.ru/article/n/protsessualnye-problemy-primeneniya-mer-prinuzhdeniya-pri-proizvodstve-sledstvennyh-deystviy;Шаповалова А.Ф.;2021 / Вестник Уральского института экономики, управления и права
Unified model for testing object-oriented application development tools;https://cyberleninka.ru/article/n/unified-model-for-testing-object-oriented-application-development-tools;Oleynik Pavel P.;2015 / Труды Института системного программирования РАН
Meta-database for the information systems development platform;https://cyberleninka.ru/article/n/meta-database-for-the-information-systems-development-platform;Yury Rogozov, Alexander Sviridov, Sergey Kucherov;2012 / Proceedings of the Spring/Summer Young Researchers’ Colloquium on Software Engineering
Методы и средства разработки электронных учебников. Технология Django для веб-приложений на языке Python;https://cyberleninka.ru/article/n/metody-i-sredstva-razrabotki-elektronnyh-uchebnikov-tehnologiya-django-dlya-veb-prilozheniy-na-yazyke-python;Ковалев Д. А.;2009 / Вестник Волжского университета им. В. Н. Татищева
Инструментальные средства сбора и анализа данных диспетчерских SCADA-систем городского энергоснабжения;https://cyberleninka.ru/article/n/instrumentalnye-sredstva-sbora-i-analiza-dannyh-dispetcherskih-scada-sistem-gorodskogo-energosnabzheniya;Финогеев А. Г., Нефедова И. С., Финогеев А. А., Финогеев Е. А., Камаев В. А., и др.;2014 / Труды Международного симпозиума «Надежность  и качество»
О пересмотре правовых стандартов доказывания и доказательств в уголовном процессе;https://cyberleninka.ru/article/n/o-peresmotre-pravovyh-standartov-dokazyvaniya-i-dokazatelstv-v-ugolovnom-protsesse;Муравьев Михаил Викторович;2017 / Юридическая наука и практика: Вестник Нижегородской академии МВД России
Использование веб-технологий для реализации методики оценивания экологических проблем;https://cyberleninka.ru/article/n/ispolzovanie-veb-tehnologiy-dlya-realizatsii-metodiki-otsenivaniya-ekologicheskih-problem;Митченков Игорь Григорьевич, Баумгартэн Михаил Ицекович, Михайлов Владимир Геннадьевич, Тайлакова Анна Александровна, Сарапулова Татьяна Викторовна;2013 / Вестник Кузбасского государственного технического университета
Структурно-вещественное строение и прогнозные ресурсы месторождения мелкого золота «Мухор-горхон» (западное Забайкалье);https://cyberleninka.ru/article/n/strukturno-veschestvennoe-stroenie-i-prognoznye-resursy-mestorozhdeniya-melkogo-zolota-muhor-gorhon-zapadnoe-zabaykalie;Коломиец В. Л., Будаев Р. Ц.;2013 / Международный научно-исследовательский журнал
Перспективные методы работы с данными в медицинских информационных системах;https://cyberleninka.ru/article/n/perspektivnye-metody-raboty-s-dannymi-v-meditsinskih-informatsionnyh-sistemah;Белышев Дмитрий Владимирович, Кочуров Евгений Владимирович;2016 / Программные системы: теория и приложения
Описание модели данных информационно-управляющей системы «Cobra++»;https://cyberleninka.ru/article/n/opisanie-modeli-dannyh-informatsionno-upravlyayuschey-sistemy-cobra;Веселова Нина Сергеевна, Шведенко Петр Владимирович, Шведенко Валерия Валериевна;2015 / Технические науки – от теории к практике
Программно-математические средства рефакторинга UML-диаграмм классов с учетом заданных критериев качества;https://cyberleninka.ru/article/n/programmno-matematicheskie-sredstva-refaktoringa-uml-diagramm-klassov-s-uchetom-zadannyh-kriteriev-kachestva;Дерюгина О.А.;2018 / Cloud of science
ОБ ЭФФЕКТИВНОСТИ НАСЛЕДОВАНИЯ ТАБЛИЦ В СУБД PostgreSQL;https://cyberleninka.ru/article/n/ob-effektivnosti-nasledovaniya-tablits-v-subd-postgresql;В.Е. Сорокин;2016 / Программные продукты и системы
Перспективы проектирования БД, открывающиеся с применением современных семантических моделей данных;https://cyberleninka.ru/article/n/perspektivy-proektirovaniya-bd-otkryvayuschiesya-s-primeneniem-sovremennyh-semanticheskih-modeley-dannyh;Бабанов Алексей Михайлович;2015 / Вестник Томского государственного университета. Управление, вычислительная техника и информатика
Синергетическое информационное пространство МУОРБД;https://cyberleninka.ru/article/n/sinergeticheskoe-informatsionnoe-prostranstvo-muorbd;Микляев Иван Александрович, Черткова Ольга Владимировна;2011 / Объектные системы
Information system user interfaces automatic creation;https://cyberleninka.ru/article/n/information-system-user-interfaces-automatic-creation;Alexander Korotkov;2009 / Proceedings of the Spring/Summer Young Researchers’ Colloquium on Software Engineering
Управление Windows-приложениями в оС Linux;https://cyberleninka.ru/article/n/upravlenie-windows-prilozheniyami-v-os-linux;Сирант Ольга Васильевна, Тихонов Дмитрий Игоревич;2016 / Технические науки – от теории к практике
УПРАВЛЕНИЕ РЕПУТАЦИЕЙ ОРГАНИЗАЦИИ В ИНТЕРНЕТ-ПРОСТРАНСТВЕ;https://cyberleninka.ru/article/n/upravlenie-reputatsiey-organizatsii-v-internet-prostranstve;Иванько Леонид Вадимович;2020 / Коммуникология: электронный научный журнал
IMáGENES DE ESPERANZA: LA APROPIACIóN DEL EJEMPLO DE LA REVOLUCIóN CUBANA POR LOS GRUPOS DE LA IZQUIERDA BRASILEñA EN LOS AñOS SESENTA;https://cyberleninka.ru/article/n/im-genes-de-esperanza-la-apropiaci-n-del-ejemplo-de-la-revoluci-n-cubana-por-los-grupos-de-la-izquierda-brasile-a-en-los-a-os-sesenta;Duarte Bartz Federico;2009 / Izquierdas
Inheritance and class structure;https://cyberleninka.ru/article/n/inheritance-and-class-structure;Batdalov R.;2010 / Объектные системы
Защита интернет-ресурсов по технологии движущейся цели;https://cyberleninka.ru/article/n/zaschita-internet-resursov-po-tehnologii-dvizhuscheysya-tseli;Стюгин Михаил Андреевич;2015 / Доклады Томского государственного университета систем управления и радиоэлектроники
Подсистема решения задачи многоальтернативной маршрутизации грузоперевозок с помощью эволюционных методов;https://cyberleninka.ru/article/n/podsistema-resheniya-zadachi-mnogoalternativnoy-marshrutizatsii-gruzoperevozok-s-pomoschyu-evolyutsionnyh-metodov;Плотников О. А., Подвальный Е. С.;2012 / Вестник Воронежского государственного технического университета
Философская картина мира шотландских гэлов и ее сравнение с русской картиной мира;https://cyberleninka.ru/article/n/filosofskaya-kartina-mira-shotlandskih-gelov-i-ee-sravnenie-s-russkoy-kartinoy-mira;Королева Мария Викторовна;2009 / Вестник Московского университета. Серия 19. Лингвистика и межкультурная коммуникация
О нахождении общего и частного решений неоднородной системы обыкновенных линейных дифференциальных уравнений с постоянными коэффициентами;https://cyberleninka.ru/article/n/o-nahozhdenii-obschego-i-chastnogo-resheniy-neodnorodnoy-sistemy-obyknovennyh-lineynyh-differentsialnyh-uravneniy-s-postoyannymi;Рыбаков Михаил Анатольевич;2012 / Вестник российских университетов. Математика
Инфраструктура высокопроизводительной компьютерной системы для реализации облачных сервисов хранения и анализа данных персональной медицины;https://cyberleninka.ru/article/n/infrastruktura-vysokoproizvoditelnoy-kompyuternoy-sistemy-dlya-realizatsii-oblachnyh-servisov-hraneniya-i-analiza-dannyh-personalnoy;Батищев Д.С., Михелев В.М.;2016 / Экономика. Информатика
